Nome da Origem;Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial_1;TCB;TC;TI;Cidade;UF;Data;Resultado de Intermediação Financeira;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;Outras Receitas/Despesas Operacionais;_14;_15;_16;_17;_18;_19;_20;_21;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k);_22
dado-instituições-individuais-DR-06-23.csv;BANCO MASTER DE INVESTIMENTO S.A.;9526594.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b2;2.0;8.0;RIO DE JANEIRO;RJ;2023-06-01;0;16.787;0;0;0;16.787;-16.855;0;0;0;0;-16.855;-68;8.680;0;-9.874;-7.340;-843;0;95;-5;-9.286;-9354.0;0.0;-9354.0;4009.0;0.0;-5345.0;0.0;
dado-instituições-individuais-DR-06-23.csv;MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS;33886862.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;15.0;RIO DE JANEIRO;RJ;2023-06-01;0;768;0;0;0;768;0;0;0;0;0;0;768;10.296;0;-6.287;-7.430;-909;0;1.683;-1.993;-4.640;-3872.0;0.0;-3872.0;1545.0;0.0;-2327.0;0.0;
dado-instituições-individuais-DR-06-24.csv;BANCO MASTER S/A;33923798.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;2.0;RIO DE JANEIRO;RJ;2024-09-01;1.501.881;343.797;-116.512;54.948;55.450;1.839.564;-1.481.186;0;0;0;-78.646;-1.559.832;279.731;22.284;333;-46.500;-408.864;-17.504;377.351;3.601;-71.763;-141.063;138668.0;2070.0;140738.0;107222.0;-11309.0;236650.0;0.0;
dado-instituições-individuais-DR-06-24.csv;BANCO LETSBANK S.A.;58497702.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2024-09-01;1.234;521.757;-97;0;0;522.894;-9.447;0;0;0;-4.548;-13.996;508.899;5.307;0;-10.984;-4.253;-351;-86;594;-778;-10.550;498348.0;-2.0;498346.0;-226985.0;-150.0;271211.0;0.0;
dado-instituições-individuais-DR-06-24.csv;WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;23862762.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n1;2.0;14.0;RIO DE JANEIRO;RJ;2024-09-01;357.810;45.088;0;0;0;402.898;-217.833;0;0;-143;-173.387;-391.362;11.536;91.998;0;-59.354;-99.860;-28.745;-1.289;207.554;-22.158;88.146;99681.0;195873.0;295554.0;-116775.0;-3887.0;174891.0;0.0;
dado-instituições-individuais-DR-06-24.csv;BANCO MASTER DE INVESTIMENTO S.A.;9526594.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b2;2.0;13.0;RIO DE JANEIRO;RJ;2024-09-01;0;365.321;0;0;0;365.321;-369.763;0;0;0;0;-369.763;-4.443;3.884;0;-12.995;-17.424;-301;-2.962;1;-76;-29.872;-34315.0;0.0;-34315.0;14049.0;0.0;-20266.0;0.0;
dado-instituições-individuais-DR-06-24.csv;BANCO VOITER S.A.;61024352.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2024-09-01;57.831;93.424;-24.937;5.826;0;132.143;-245.347;-664;0;0;-8.659;-254.670;-122.527;12.799;503;-18.369;-18.184;-692;-7.667;11.085;-4.579;-25.105;-147632.0;-3015.0;-150647.0;65227.0;-2000.0;-87420.0;0.0;
dado-instituições-individuais-DR-06-24.csv;MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS;33886862.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;15.0;RIO DE JANEIRO;RJ;2024-09-01;0;156;0;0;0;156;0;0;0;0;0;0;156;10.697;0;-5.206;-9.315;-956;0;2.486;-2.791;-5.085;-4928.0;0.0;-4928.0;1966.0;0.0;-2962.0;0.0;
dado-instituições-individuais-DR-06-24.csv;DISTRIBUIDORA INTERCAP DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;2927433.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;16.0;RIO DE JANEIRO;RJ;2024-09-01;0;3;0;0;0;3;0;0;0;0;0;0;3;0;0;0;-36;0;0;0;0;-36;-33.0;0.0;-33.0;0.0;0.0;-33.0;0.0;
dado-instituições-individuais-DR-06-24.csv;BANCO MASTER MÚLTIPLO S.A.;33884941.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2024-09-01;0;0;0;0;0;0;-1.514;0;0;0;0;-1.514;-1.514;0;0;-96;-8.892;0;34.179;4.171;-9.094;20.268;18754.0;176381.0;195135.0;6664.0;0.0;201799.0;0.0;
dado-Instituições-Individuais-DR-09-22.csv;BANCO MASTER DE INVESTIMENTO S.A.;9526594.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b2;2.0;8.0;RIO DE JANEIRO;RJ;2022-12-01;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;;;;;;;;
dado-Instituições-Individuais-DR-09-22.csv;MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS;33886862.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;15.0;RIO DE JANEIRO;RJ;2022-12-01;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;;;;;;;;
dado-Instituições-Individuais-DR-09-22.csv;BANCO MASTER S/A;33923798.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;2.0;RIO DE JANEIRO;RJ;2022-12-01;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;??? area;;;;;;;;
dado-instituições-individuais-DR-09-23.csv;BANCO MASTER S/A;33923798.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;2.0;RIO DE JANEIRO;RJ;2023-09-01;720.845;247.657;-17.662;17.322;34.320;1.002.483;-651.261;0;0;0;-71.359;-722.621;279.862;13.869;5.231;-39.329;-233.892;-22.942;5.109;68.644;-72.463;-275.772;4090.0;-264.0;3827.0;-13.0;0.0;3814.0;0.0;
dado-instituições-individuais-DR-09-23.csv;BANCO MASTER DE INVESTIMENTO S.A.;9526594.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b2;2.0;8.0;RIO DE JANEIRO;RJ;2023-09-01;0;15.638;0;0;0;15.638;-16.016;0;0;0;0;-16.016;-378;71;0;-6.654;-6.578;-4;0;3;0;-13.163;-13541.0;0.0;-13541.0;6047.0;0.0;-7495.0;0.0;
dado-instituições-individuais-DR-09-23.csv;MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS;33886862.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;15.0;RIO DE JANEIRO;RJ;2023-09-01;0;338;0;0;0;338;0;0;0;0;0;0;338;7.823;0;-3.146;-5.391;-670;0;556;-133;-960;-622.0;0.0;-622.0;246.0;0.0;-376.0;0.0;
dado-instituições-individuais-DR-09-23.csv;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.;33884941.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2023-09-01;0;0;0;0;0;0;-25;0;0;0;0;-25;-25;0;0;-154;-2.684;0;-118;0;-2.012;-4.967;-4992.0;0.0;-4992.0;0.0;0.0;-4992.0;0.0;
dado-instituições-individuais-DR-09-24.csv;BANCO MASTER S/A;33923798.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;2.0;RIO DE JANEIRO;RJ;2024-06-01;2.407.341;1.227.374;-655.794;82.299;94.535;3.155.755;-2.109.078;0;0;0;-432.993;-2.542.071;613.684;38.763;1.566;-88.607;-840.921;-60.111;286.653;65.274;-106.119;-703.500;-89816.0;436076.0;346260.0;178328.0;-23836.0;500752.0;0.0;
dado-instituições-individuais-DR-09-24.csv;BANCO MASTER DE INVESTIMENTO S.A.;9526594.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b2;2.0;13.0;RIO DE JANEIRO;RJ;2024-06-01;0;407.361;0;0;0;407.361;-415.585;0;0;0;0;-415.585;-8.223;14.755;0;-16.273;-28.805;-1.310;-3.642;3.439;-2.514;-34.350;-42573.0;0.0;-42573.0;16203.0;0.0;-26370.0;0.0;
dado-instituições-individuais-DR-09-24.csv;BANCO VOITER S.A.;61024352.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2024-06-01;137.714;219.082;-128.415;35.826;0;264.207;-269.628;-6.137;0;0;-12.700;-288.466;-24.259;53.208;1.370;-28.891;-29.959;-5.453;-1.480;58.308;-6.636;40.466;16207.0;622.0;16829.0;247984.0;0.0;264813.0;0.0;
