Nome da Origem;Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial_1;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento
dado-Instituições-Individuais-resumo-06-24.csv;MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS;33886862.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;15.0;RIO DE JANEIRO;RJ;2024-06-01;41569.0;0.0;12574.0;0.0;28995.0;-2845.0;3.0;0.0
dado-Instituições-Individuais-resumo-06-24.csv;DISTRIBUIDORA INTERCAP DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;2927433.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;16.0;RIO DE JANEIRO;RJ;2024-06-01;24495.0;0.0;0.0;0.0;24495.0;-3.0;2.0;0.0
dado-Instituições-Individuais-resumo-09-22.csv;BANCO MASTER S/A;33923798.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;2.0;RIO DE JANEIRO;RJ;2022-09-01;16773640.0;9197823.0;15718991.0;15138563.0;1054649.0;8437.0;3.0;2.0
dado-Instituições-Individuais-resumo-09-22.csv;MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS;33886862.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;15.0;RIO DE JANEIRO;RJ;2022-09-01;29586.0;0.0;7029.0;0.0;22557.0;-198.0;3.0;0.0
dado-Instituições-Individuais-resumo-09-22.csv;BANCO MASTER DE INVESTIMENTO S.A.;9526594.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b2;2.0;8.0;RIO DE JANEIRO;RJ;2022-09-01;26013.0;0.0;60.0;0.0;25953.0;-85.0;3.0;0.0
dado-Instituições-Individuais-resumo-09-23.csv;BANCO MASTER S/A;33923798.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;2.0;RIO DE JANEIRO;RJ;2023-09-01;30857830.0;13291068.0;28999482.0;27935561.0;1858348.0;3814.0;3.0;3.0
dado-Instituições-Individuais-resumo-09-23.csv;BANCO MASTER DE INVESTIMENTO S.A.;9526594.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b2;2.0;8.0;RIO DE JANEIRO;RJ;2023-09-01;871777.0;0.0;860914.0;857622.0;10863.0;-7495.0;2.0;2.0
dado-Instituições-Individuais-resumo-09-23.csv;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.;33884941.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2023-09-01;434004.0;0.0;129031.0;0.0;304974.0;-4992.0;2.0;0.0
dado-Instituições-Individuais-resumo-09-23.csv;MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS;33886862.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;15.0;RIO DE JANEIRO;RJ;2023-09-01;40856.0;0.0;11391.0;0.0;29465.0;-376.0;3.0;0.0
dado-Instituições-Individuais-resumo-09-24.csv;BANCO MASTER S/A;33923798.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;2.0;RIO DE JANEIRO;RJ;2024-09-01;58335368.0;22173993.0;53922891.0;50932399.0;4412477.0;236650.0;3.0;3.0
