Nome da Origem;Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial_1;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;Column1
dado-Instituições-Individuais-resumo-09-23.csv;DIBENS LEASING S.A. ARRENDAMENTO MERCANTIL;65654303;ITAU - PRUDENCIAL;10069;80099;n1;2;19;SAO PAULO;SP;01/09/2023;957171;0;46515;4794;910656;16590;2;0;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO NORTE DOS ESTADOS DE MATO GROSSO E MATO GROSSO DO SUL - SICOOB UNIÃO MT/MS;3326437;;;;b3S;2;9;CUIABA;MT;01/09/2023;954655;644529;804487;699219;150169;2217;0;30;
dado-Instituições-Individuais-resumo-09-23.csv;BANCO INVESTCRED UNIBANCO S.A.;61182408;ITAU - PRUDENCIAL;10069;80099;b1;2;2;SAO PAULO;SP;01/09/2023;952306;902264;837734;334625;114572;6086;2;0;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CREDITO COOPLIVRE;49389307;;;;b3S;2;9;CAPIVARI;SP;01/09/2023;948100;448723;851764;758628;96336;6796;0;15;
dado-Instituições-Individuais-resumo-09-23.csv;CAIXA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;42040639;CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;51626;80738;n2;1;16;BRASILIA;DF;01/09/2023;942204;0;76999;0;865205;281736;2;0;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO CREDICOCAPEC;67096909;;;;b3S;2;9;FRANCA;SP;01/09/2023;939365;421520;750365;601671;189000;8921;0;10;
dado-Instituições-Individuais-resumo-09-23.csv;IUGU INSTITUIÇÃO DE PAGAMENTO S.A.;15111975;IUGU IP - PRUDENCIAL;;85434;n4;2;41;SAO PAULO;SP;01/09/2023;937606;0;884775;262307;52830;-1066;1;0;
dado-Instituições-Individuais-resumo-09-23.csv;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;46518205;JP MORGAN CHASE - PRUDENCIAL;20107;80116;b1;3;28;SAO PAULO;SP;01/09/2023;929935;0;435285;144221;494650;8020;2;0;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA DO PLANALTO SERRA DO RIO GRANDE DO SUL - CRESOL PLANALTO SERRA;5863726;;;;b3S;2;9;SANANDUVA;RS;01/09/2023;926308;603459;840295;478895;86014;1896;0;26;
dado-Instituições-Individuais-resumo-09-23.csv;AFINZ INSTITUIÇÃO DE PAGAMENTO S.A.;60114865;AFINZ IP - PRUDENCIAL;;83539;n4;2;41;BARUERI;SP;01/09/2023;925423;489058;818646;84470;106777;-8068;1;0;
dado-Instituições-Individuais-resumo-09-23.csv;BANCO KOMATSU DO BRASIL S.A.;23903068;BANCO KOMATSU DO BRASIL - PRUDENCIAL;;84576;b2;3;8;SAO PAULO;SP;01/09/2023;919202;872411;735710;640255;183492;4800;2;0;
dado-Instituições-Individuais-resumo-09-23.csv;INTRAG DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;62418140;ITAU - PRUDENCIAL;10069;80099;n2;2;16;SAO PAULO;SP;01/09/2023;915944;0;74063;0;841881;38017;2;0;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ESTADO DE SÃO PAULO - SICOOB PAULISTA;10262276;;;;b3S;2;9;PRESIDENTE PRUDENTE;SP;01/09/2023;915498;548241;835993;775380;79505;-4551;0;22;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO CREDCOOPER LTDA - SICOOB CREDCOOPER;19449602;;;;b3S;2;9;CARATINGA;MG;01/09/2023;914233;460386;802176;541111;112057;8185;0;11;
dado-Instituições-Individuais-resumo-09-23.csv;CSILATINA ARRENDAMENTO MERCANTIL S.A.;5883884;CSILATINA A.M. S.A. - PRUDENCIAL;;82970;n1;3;19;BARUERI;SP;01/09/2023;909071;555263;780691;502077;128380;8957;2;0;
dado-Instituições-Individuais-resumo-09-23.csv;BANCO CIFRA S.A.;62421979;BMG - PRUDENCIAL;30290;80178;b1;2;8;SAO PAULO;SP;01/09/2023;905744;0;48576;0;857168;14136;2;0;
dado-Instituições-Individuais-resumo-09-23.csv;BANCO BRASILEIRO DE CRÉDITO SOCIEDADE ANÔNIMA;1852137;BBC S.A. - PRUDENCIAL;;84480;b1;2;8;SAO PAULO;SP;01/09/2023;891422;647655;757155;578679;134268;3354;2;0;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE DO ARAGUAIA LTDA.;24830879;;;;b3S;2;9;MINEIROS;GO;01/09/2023;891365;521845;587219;512535;304146;17037;0;4;
dado-Instituições-Individuais-resumo-09-23.csv;TRAVELEX BANCO DE CÂMBIO S.A.;11703662;CONFIDENCE - PRUDENCIAL;51671;80783;b2;3;39;SAO PAULO;SP;01/09/2023;889830;35017;701311;161215;188519;10390;2;0;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO EVOLUA;10311218;;;;b3S;2;9;FRANCISCO BELTRAO;PR;01/09/2023;888590;761798;774575;551967;114015;-4043;0;18;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ITAPIRANGA - SICOOB CREDITAPIRANGA SC/RS;78483310;;;;b3S;2;9;ITAPIRANGA;SC;01/09/2023;888470;462688;794828;587323;93643;4021;0;9;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA RAIZ - CRESOL RAIZ;17343510;;;;b3S;2;9;FREDERICO WESTPHALEN;RS;01/09/2023;876396;589291;785324;437762;91071;3403;0;27;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO TRÊS FRONTEIRAS - SICOOB TRÊS FRONTEIRAS;4876393;;;;b3S;2;9;FOZ DO IGUACU;PR;01/09/2023;873513;503246;786772;637027;86741;3861;0;23;
dado-Instituições-Individuais-resumo-09-23.csv;CREDISIS JICRED - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO JICRED;2309070;;;;b3S;2;9;JI-PARANA;RO;01/09/2023;872148;619207;710362;606647;161786;13620;0;22;
dado-Instituições-Individuais-resumo-09-23.csv;BANCO MASTER DE INVESTIMENTO S.A.;9526594;BANCO MASTER - PRUDENCIAL;50201;80367;b2;2;8;RIO DE JANEIRO;RJ;01/09/2023;871777;0;860914;857622;10863;-7495;2;2;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA PARAÍBA - SICOOB PARAÍBA;11907520;;;;b3S;2;9;CAMPINA GRANDE;PB;01/09/2023;871204;536531;702368;674148;168836;11635;0;8;
dado-Instituições-Individuais-resumo-09-23.csv;DEUTSCHE SPARKASSEN LEASING DO BRASIL BANCO MÚLTIPLO S.A.;23511655;DEUTSCHE SPARKASSEN LEASING DO BRASIL - PRUDENCIAL;;84545;b2;3;8;SAO PAULO;SP;01/09/2023;870265;657738;770107;571120;100158;991;2;0;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO CREDIUNA LTDA - SICOOB CREDIUNA;64237530;;;;b3S;2;9;ITAUNA;MG;01/09/2023;869499;438643;730650;615337;138849;11106;0;11;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO CREDISETE LTDA. - SICOOB CREDISETE;22753982;;;;b3S;2;9;SETE LAGOAS;MG;01/09/2023;863638;363497;769625;743812;94013;4218;0;11;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS DOS VALES DO TAQUARI E RIO PARDO E REGIÃO DA PRODUÇÃO LTDA. - UNICRED PREMIUM;1635462;;;;b3S;2;9;LAJEADO;RS;01/09/2023;860072;558923;764213;716914;95859;3885;0;13;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO E CAPTAÇÃO SICOOB UNICIDADES;3047549;;;;b3S;2;9;RIO VERDE;GO;01/09/2023;858898;592520;716715;480527;142182;5569;0;12;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE BELO HORIZONTE E CIDADES POLO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB NOSSACOOP;1760242;;;;b3S;2;9;BELO HORIZONTE;MG;01/09/2023;857084;597511;767780;734950;89304;1485;0;39;
dado-Instituições-Individuais-resumo-09-23.csv;CREDIARE S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;5676026;CREDIARE CFI - PRUDENCIAL;;85427;n1;2;14;FARROUPILHA;RS;01/09/2023;856443;763978;767762;493003;88681;-1286;2;0;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO NOSSOCRÉDITO LTDA - SICOOB NOSSOCRÉDITO;22760839;;;;b3S;2;9;SAO SEBASTIAO DO PARAISO;MG;01/09/2023;855927;457831;730527;637550;125400;6413;0;11;
dado-Instituições-Individuais-resumo-09-23.csv;BITZ INSTITUICAO DE PAGAMENTO S.A.;15011719;BRADESCO - PRUDENCIAL;;80075;n4;2;41;OSASCO;SP;01/09/2023;852591;0;20580;14536;832011;4871;1;0;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS NOVA TRENTO   SICOOB TRENTOCREDI SC;2641969;;;;b3S;2;9;NOVA TRENTO;SC;01/09/2023;851158;467482;709037;688469;142121;9270;0;16;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO UNIQUE BR;73647935;;;;b3S;2;9;CAMPO GRANDE;MS;01/09/2023;845309;495016;695645;652384;149664;3560;0;18;
dado-Instituições-Individuais-resumo-09-23.csv;RECARGAPAY INSTITUICAO DE PAGAMENTO LTDA.;11275560;RECARGAPAY IP - PRUDENCIAL;;85898;n4;3;41;SAO PAULO;SP;01/09/2023;841921;0;768455;218986;73467;-6075;1;0;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO CREDISG LTDA. - SICOOB CREDISG;3645752;;;;b3S;2;9;SAO GOTARDO;MG;01/09/2023;834712;425078;702414;492633;132298;8481;0;1;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE POUPANÇA E CRÉDITO DO VALE DO RIO DOCE LTDA - SICOOB CREDIRIODOCE;25606237;;;;b3S;2;9;GOVERNADOR VALADARES;MG;01/09/2023;831096;368917;743790;655599;87307;2435;0;26;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO ORIGINAL - SICOOB ORIGINAL;81292278;;;;b3S;2;9;SAO LOURENCO D'OESTE;SC;01/09/2023;829647;394288;704920;501218;124727;6979;0;13;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA LIDERANÇA - CRESOL LIDERANÇA;2934201;;;;b3S;2;9;CHOPINZINHO;PR;01/09/2023;829127;652911;706581;295017;122546;1292;0;17;
dado-Instituições-Individuais-resumo-09-23.csv;SWAP MEIOS DE PAGAMENTOS INSTITUICAO DE PAGAMENTO S.A.;31680151;SWAP MEIOS DE PAGAMENTOS IP - PRUDENCIAL;;86732;n4;3;41;SAO PAULO;SP;01/09/2023;816267;182610;792461;104719;23806;-12009;1;0;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO DO NORTE CATARINENSE - ACREDICOOP;3461243;;;;b3S;2;9;JOINVILLE;SC;01/09/2023;808365;624203;718910;621798;89455;869;0;23;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE DO PARANAÍBA LTDA.;24799033;;;;b3S;2;9;QUIRINOPOLIS;GO;01/09/2023;795078;375708;595119;459322;199959;8842;0;16;
dado-Instituições-Individuais-resumo-09-23.csv;SICREDI RECIFE - COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI RECIFE;70241658;;;;b3S;2;9;RECIFE;PE;01/09/2023;793084;485303;703254;648892;89830;797;0;6;
dado-Instituições-Individuais-resumo-09-23.csv;BANCO FATOR S.A.;33644196;FATOR - PRUDENCIAL;;80350;b1;2;8;SAO PAULO;SP;01/09/2023;785919;1310;491301;485053;294618;-5619;2;0;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS VALE DO RIO DO PEIXE - SICOOB CREDIRIO SC;78865995;;;;b3S;2;9;JOACABA;SC;01/09/2023;780892;309310;704776;606511;76116;4348;0;12;
