Nome da Origem;Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial_1;TCB;TC;TI;Cidade;UF;Data;Captações;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);_16
dado-instituições-individuais-passivo-06-24.csv;BANCO VOITER S.A.;61024352.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2024-06-01;96.377;20.061;5.828.063;0;0;5.944.501;226.775;73.058;167.691;0;0;0;240.749;42.983;6.455.007;37111.0;323762.0;6815881.0;;;;
dado-instituições-individuais-passivo-06-24.csv;BANCO MASTER MÚLTIPLO S.A.;33884941.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2024-06-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;81952.0;81952.0;;;;
dado-instituições-individuais-passivo-06-24.csv;BANCO LETSBANK S.A.;58497702.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2024-06-01;426;0;122.114;0;0;122.540;0;0;0;0;0;0;0;0;122.540;0.0;18536.0;141076.0;;;;
dado-instituições-individuais-passivo-06-24.csv;MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS;33886862.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;15.0;RIO DE JANEIRO;RJ;2024-06-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;12574.0;12574.0;;;;
dado-instituições-individuais-passivo-06-24.csv;DISTRIBUIDORA INTERCAP DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;2927433.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;16.0;RIO DE JANEIRO;RJ;2024-06-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;;;;
dado-instituições-individuais-passivo-09-22.csv;BANCO MASTER S/A;33923798.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;2.0;RIO DE JANEIRO;RJ;2022-09-01;104.904;150.665;14.251.093;751;0;14.507.412;427.944;203.207;0;0;0;0;203.207;0;15.138.563;6545.0;573883.0;15718991.0;0.0;1054649.0;16773640.0;
dado-instituições-individuais-passivo-09-22.csv;MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS;33886862.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;15.0;RIO DE JANEIRO;RJ;2022-09-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;7029.0;7029.0;0.0;22557.0;29586.0;
dado-instituições-individuais-passivo-09-22.csv;BANCO MASTER DE INVESTIMENTO S.A.;9526594.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b2;2.0;8.0;RIO DE JANEIRO;RJ;2022-09-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;60.0;60.0;0.0;25953.0;26013.0;
dado-instituições-individuais-passivo-09-23.csv;BANCO MASTER S/A;33923798.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;2.0;RIO DE JANEIRO;RJ;2023-09-01;358.082;1.003.886;24.783.223;657;0;26.145.848;1.008.884;759.230;0;21.599;0;0;780.829;0;27.935.561;181051.0;882870.0;28999482.0;;;;
dado-instituições-individuais-passivo-09-23.csv;BANCO MASTER DE INVESTIMENTO S.A.;9526594.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b2;2.0;8.0;RIO DE JANEIRO;RJ;2023-09-01;0;0;857.622;0;0;857.622;0;0;0;0;0;0;0;0;857.622;0.0;3291.0;860914.0;;;;
