Nome da Origem;Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial_1;TCB;TC;TI;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;_2;Arrendamento Mercantil;_3;_4;_5;_6;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);_7
dado-Instituições-Individuais-ativo-06-24.csv;BANCO MASTER DE INVESTIMENTO S.A.;9526594.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b2;2.0;13.0;RIO DE JANEIRO;RJ;2024-06-01;1041.0;10175531.0;0.0;0;0;0;0;0;0;0;74649.0;21431.0;30575.0;10303227.0;0.0;10303227.0;
dado-Instituições-Individuais-ativo-06-24.csv;BANCO VOITER S.A.;61024352.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2024-06-01;36458.0;1621170.0;2816938.0;1.272.861;1.232.680;0;0;0;0;0;1369603.0;236059.0;182470.0;7495378.0;0.0;7495378.0;
dado-Instituições-Individuais-ativo-06-24.csv;BANCO MASTER MÚLTIPLO S.A.;33884941.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2024-06-01;0.0;0.0;0.0;0;0;0;0;0;0;0;386992.0;2993.0;0.0;389985.0;0.0;389985.0;
dado-Instituições-Individuais-ativo-06-24.csv;BANCO LETSBANK S.A.;58497702.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2024-06-01;1.0;20065.0;4069.0;21.317;11.279;0;0;0;0;0;106738.0;30314.0;13530.0;185996.0;0.0;185996.0;
dado-Instituições-Individuais-ativo-06-24.csv;MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS;33886862.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;15.0;RIO DE JANEIRO;RJ;2024-06-01;791.0;1300.0;0.0;0;0;0;0;0;0;0;39478.0;0.0;0.0;41569.0;0.0;41569.0;
dado-Instituições-Individuais-ativo-06-24.csv;DISTRIBUIDORA INTERCAP DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;2927433.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;16.0;RIO DE JANEIRO;RJ;2024-06-01;24488.0;0.0;0.0;0;0;0;0;0;0;0;7.0;0.0;0.0;24495.0;0.0;24495.0;
dado-Instituições-Individuais-ativo-09-22.csv;BANCO MASTER S/A;33923798.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;2.0;RIO DE JANEIRO;RJ;2022-09-01;89273.0;412706.0;4987423.0;3.640.533;3.441.065;0;0;0;0;0;6988603.0;547617.0;306954.0;16773640.0;0.0;16773640.0;
dado-Instituições-Individuais-ativo-09-22.csv;MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS;33886862.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;15.0;RIO DE JANEIRO;RJ;2022-09-01;1402.0;0.0;0.0;0;0;0;0;0;0;0;28153.0;31.0;0.0;29586.0;0.0;29586.0;
dado-Instituições-Individuais-ativo-09-22.csv;BANCO MASTER DE INVESTIMENTO S.A.;9526594.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b2;2.0;8.0;RIO DE JANEIRO;RJ;2022-09-01;12394.0;0.0;0.0;0;0;0;0;0;0;0;13619.0;0.0;0.0;26013.0;0.0;26013.0;
dado-Instituições-Individuais-ativo-09-23.csv;BANCO MASTER S/A;33923798.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;2.0;RIO DE JANEIRO;RJ;2023-09-01;44631.0;393618.0;12701830.0;6.063.070;5.769.824;0;0;0;0;0;9667912.0;1810220.0;469795.0;30857830.0;0.0;30857830.0;
